,Date,Consistence_2_1244013,Data2_1244013
0,2001-01-01,1,0.0
1,2001-01-02,1,0.0
2,2001-01-03,1,0.0
3,2001-01-04,1,0.0
4,2001-01-05,1,0.0
5,2001-01-06,1,0.0
6,2001-01-07,1,0.0
7,2001-01-08,1,0.0
8,2001-01-09,1,0.0
9,2001-01-10,1,0.0
10,2001-01-11,1,0.0
11,2001-01-12,1,0.0
12,2001-01-13,1,0.0
13,2001-01-14,1,11.2
14,2001-01-15,1,0.0
15,2001-01-16,1,0.0
16,2001-01-17,1,0.0
17,2001-01-18,1,0.0
18,2001-01-19,1,0.0
19,2001-01-20,1,4.1
20,2001-01-21,1,0.0
21,2001-01-22,1,0.0
22,2001-01-23,1,0.0
23,2001-01-24,1,0.0
24,2001-01-25,1,0.0
25,2001-01-26,1,0.0
26,2001-01-27,1,0.0
27,2001-01-28,1,0.0
28,2001-01-29,1,0.0
29,2001-01-30,1,0.0
30,2001-01-31,1,0.0
31,2000-12-01,1,0.0
32,2000-12-02,1,0.0
33,2000-12-03,1,0.0
34,2000-12-04,1,12.8
35,2000-12-05,1,0.0
36,2000-12-06,1,0.0
37,2000-12-07,1,16.3
38,2000-12-08,1,0.0
39,2000-12-09,1,5.7
40,2000-12-10,1,0.0
41,2000-12-11,1,0.0
42,2000-12-12,1,0.0
43,2000-12-13,1,0.0
44,2000-12-14,1,28.3
45,2000-12-15,1,26.3
46,2000-12-16,1,35.5
47,2000-12-17,1,37.7
48,2000-12-18,1,0.0
49,2000-12-19,1,0.0
50,2000-12-20,1,25.3
51,2000-12-21,1,36.6
52,2000-12-22,1,41.3
53,2000-12-23,1,0.0
54,2000-12-24,1,0.0
55,2000-12-25,1,0.0
56,2000-12-26,1,0.0
57,2000-12-27,1,0.0
58,2000-12-28,1,0.0
59,2000-12-29,1,0.0
60,2000-12-30,1,0.0
61,2000-12-31,1,0.0
62,2000-10-01,1,0.0
63,2000-10-02,1,0.0
64,2000-10-03,1,0.0
65,2000-10-04,1,0.0
66,2000-10-05,1,0.0
67,2000-10-06,1,0.0
68,2000-10-07,1,0.0
69,2000-10-08,1,0.0
70,2000-10-09,1,0.0
71,2000-10-10,1,0.0
72,2000-10-11,1,0.0
73,2000-10-12,1,0.0
74,2000-10-13,1,0.0
75,2000-10-14,1,0.0
76,2000-10-15,1,0.0
77,2000-10-16,1,0.0
78,2000-10-17,1,0.0
79,2000-10-18,1,0.0
80,2000-10-19,1,0.0
81,2000-10-20,1,0.0
82,2000-10-21,1,0.0
83,2000-10-22,1,0.0
84,2000-10-23,1,0.0
85,2000-10-24,1,0.0
86,2000-10-25,1,0.0
87,2000-10-26,1,0.0
88,2000-10-27,1,0.0
89,2000-10-28,1,0.0
90,2000-10-29,1,0.0
91,2000-10-30,1,0.0
92,2000-10-31,1,0.0
93,2000-09-01,1,0.0
94,2000-09-02,1,0.0
95,2000-09-03,1,0.0
96,2000-09-04,1,0.0
97,2000-09-05,1,0.0
98,2000-09-06,1,0.0
99,2000-09-07,1,26.7
100,2000-09-08,1,0.0
101,2000-09-09,1,0.0
102,2000-09-10,1,0.0
103,2000-09-11,1,0.0
104,2000-09-12,1,0.0
105,2000-09-13,1,0.0
106,2000-09-14,1,0.0
107,2000-09-15,1,0.0
108,2000-09-16,1,0.0
109,2000-09-17,1,0.0
110,2000-09-18,1,0.0
111,2000-09-19,1,0.0
112,2000-09-20,1,0.0
113,2000-09-21,1,0.0
114,2000-09-22,1,0.0
115,2000-09-23,1,0.0
116,2000-09-24,1,0.0
117,2000-09-25,1,0.0
118,2000-09-26,1,0.0
119,2000-09-27,1,0.0
120,2000-09-28,1,0.0
121,2000-09-29,1,0.0
122,2000-09-30,1,0.0
123,2000-08-01,1,0.0
124,2000-08-02,1,0.0
125,2000-08-03,1,0.0
126,2000-08-04,1,0.0
127,2000-08-05,1,0.0
128,2000-08-06,1,0.0
129,2000-08-07,1,0.0
130,2000-08-08,1,0.0
131,2000-08-09,1,0.0
132,2000-08-10,1,0.0
133,2000-08-11,1,0.0
134,2000-08-12,1,0.0
135,2000-08-13,1,0.0
136,2000-08-14,1,0.0
137,2000-08-15,1,0.0
138,2000-08-16,1,0.0
139,2000-08-17,1,0.0
140,2000-08-18,1,0.0
141,2000-08-19,1,0.0
142,2000-08-20,1,0.0
143,2000-08-21,1,0.0
144,2000-08-22,1,0.0
145,2000-08-23,1,0.0
146,2000-08-24,1,0.0
147,2000-08-25,1,0.0
148,2000-08-26,1,0.0
149,2000-08-27,1,0.0
150,2000-08-28,1,0.0
151,2000-08-29,1,0.0
152,2000-08-30,1,0.0
153,2000-08-31,1,0.0
154,2000-07-01,1,0.0
155,2000-07-02,1,0.0
156,2000-07-03,1,0.0
157,2000-07-04,1,0.0
158,2000-07-05,1,0.0
159,2000-07-06,1,0.0
160,2000-07-07,1,0.0
161,2000-07-08,1,0.0
162,2000-07-09,1,0.0
163,2000-07-10,1,0.0
164,2000-07-11,1,0.0
165,2000-07-12,1,0.0
166,2000-07-13,1,0.0
167,2000-07-14,1,0.0
168,2000-07-15,1,0.0
169,2000-07-16,1,0.0
170,2000-07-17,1,0.0
171,2000-07-18,1,0.0
172,2000-07-19,1,0.0
173,2000-07-20,1,0.0
174,2000-07-21,1,0.0
175,2000-07-22,1,0.0
176,2000-07-23,1,0.0
177,2000-07-24,1,0.0
178,2000-07-25,1,0.0
179,2000-07-26,1,0.0
180,2000-07-27,1,0.0
181,2000-07-28,1,0.0
182,2000-07-29,1,0.0
183,2000-07-30,1,0.0
184,2000-07-31,1,0.0
185,2000-05-01,1,0.0
186,2000-05-02,1,0.0
187,2000-05-03,1,0.0
188,2000-05-04,1,0.0
189,2000-05-05,1,0.0
190,2000-05-06,1,0.0
191,2000-05-07,1,0.0
192,2000-05-08,1,0.0
193,2000-05-09,1,0.0
194,2000-05-10,1,0.0
195,2000-05-11,1,0.0
196,2000-05-12,1,0.0
197,2000-05-13,1,0.0
198,2000-05-14,1,0.0
199,2000-05-15,1,0.0
200,2000-05-16,1,0.0
201,2000-05-17,1,0.0
202,2000-05-18,1,0.0
203,2000-05-19,1,0.0
204,2000-05-20,1,0.0
205,2000-05-21,1,0.0
206,2000-05-22,1,0.0
207,2000-05-23,1,0.0
208,2000-05-24,1,0.0
209,2000-05-25,1,0.0
210,2000-05-26,1,0.0
211,2000-05-27,1,0.0
212,2000-05-28,1,0.0
213,2000-05-29,1,0.0
214,2000-05-30,1,0.0
215,2000-05-31,1,0.0
216,2000-04-01,1,0.0
217,2000-04-02,1,0.0
218,2000-04-03,1,7.3
219,2000-04-04,1,0.0
220,2000-04-05,1,0.0
221,2000-04-06,1,0.0
222,2000-04-07,1,15.7
223,2000-04-08,1,0.0
224,2000-04-09,1,0.0
225,2000-04-10,1,0.0
226,2000-04-11,1,0.0
227,2000-04-12,1,0.0
228,2000-04-13,1,0.0
229,2000-04-14,1,0.0
230,2000-04-15,1,0.0
231,2000-04-16,1,0.0
232,2000-04-17,1,0.0
233,2000-04-18,1,0.0
234,2000-04-19,1,0.0
235,2000-04-20,1,0.0
236,2000-04-21,1,0.0
237,2000-04-22,1,0.0
238,2000-04-23,1,0.0
239,2000-04-24,1,0.0
240,2000-04-25,1,0.0
241,2000-04-26,1,0.0
242,2000-04-27,1,0.0
243,2000-04-28,1,0.0
244,2000-04-29,1,0.0
245,2000-04-30,1,0.0
246,2000-03-01,1,0.0
247,2000-03-02,1,0.0
248,2000-03-03,1,0.0
249,2000-03-04,1,0.0
250,2000-03-05,1,17.5
251,2000-03-06,1,0.0
252,2000-03-07,1,0.0
253,2000-03-08,1,57.3
254,2000-03-09,1,49.5
255,2000-03-10,1,0.0
256,2000-03-11,1,0.0
257,2000-03-12,1,0.0
258,2000-03-13,1,35.2
259,2000-03-14,1,0.0
260,2000-03-15,1,0.0
261,2000-03-16,1,0.0
262,2000-03-17,1,0.0
263,2000-03-18,1,0.0
264,2000-03-19,1,0.0
265,2000-03-20,1,0.0
266,2000-03-21,1,0.0
267,2000-03-22,1,37.2
268,2000-03-23,1,0.0
269,2000-03-24,1,78.5
270,2000-03-25,1,0.0
271,2000-03-26,1,0.0
272,2000-03-27,1,0.0
273,2000-03-28,1,0.0
274,2000-03-29,1,0.0
275,2000-03-30,1,0.0
276,2000-03-31,1,0.0
277,2000-02-01,1,0.0
278,2000-02-02,1,0.0
279,2000-02-03,1,0.0
280,2000-02-04,1,0.0
281,2000-02-05,1,0.0
282,2000-02-06,1,30.7
283,2000-02-07,1,0.0
284,2000-02-08,1,0.0
285,2000-02-09,1,0.0
286,2000-02-10,1,0.0
287,2000-02-11,1,29.5
288,2000-02-12,1,11.3
289,2000-02-13,1,0.0
290,2000-02-14,1,0.0
291,2000-02-15,1,37.6
292,2000-02-16,1,34.5
293,2000-02-17,1,0.0
294,2000-02-18,1,0.0
295,2000-02-19,1,13.3
296,2000-02-20,1,55.7
297,2000-02-21,1,0.0
298,2000-02-22,1,0.0
299,2000-02-23,1,0.0
300,2000-02-24,1,0.0
301,2000-02-25,1,45.5
302,2000-02-26,1,56.3
303,2000-02-27,1,0.0
304,2000-02-28,1,0.0
305,2000-02-29,1,0.0
306,2000-01-01,1,15.3
